model,unique_id,cutoff,n,scale,mae,wape,mase,pinball,coverage,mean_actual
AutoARIMA,FOODS_2_133_WI_3,2016-02-28,28,0.5615491009681881,0.6876916731484538,0.9169222308646051,1.2246332011978622,0.18828847149309794,0.8571428571428571,0.75
AutoARIMA,FOODS_2_133_WI_3,2016-03-27,28,0.5685752330226365,0.8087305009797452,1.07830733463966,1.422380810856648,0.24101755339025516,0.7142857142857143,0.75
AutoARIMA,FOODS_2_133_WI_3,2016-04-24,28,0.5917843388960206,0.8447682672418152,1.1826755741385413,1.4274934494172973,0.26992434067951754,0.75,0.7142857142857143
AutoARIMA,FOODS_2_133_WI_3,2016-05-22,28,0.6171003717472119,0.5826838222462627,3.263029404579071,0.9442286035195462,0.1560747883992253,0.9642857142857143,0.17857142857142858
AutoARIMA,FOODS_2_143_CA_3,2016-02-28,28,0.966804979253112,0.9011111060622726,0.813906805475601,0.9320505431802906,0.27629311098309944,0.8214285714285714,1.1071428571428572
AutoARIMA,FOODS_2_143_CA_3,2016-03-27,28,0.9773635153129161,0.9979780607842494,0.8218642853517348,1.021091994072168,0.32600837420986795,0.8571428571428571,1.2142857142857142
AutoARIMA,FOODS_2_143_CA_3,2016-04-24,28,0.9910141206675225,1.1073301577208179,0.6890054314707311,1.1173707161457476,0.3468897608599398,0.7857142857142857,1.6071428571428572
AutoARIMA,FOODS_2_143_CA_3,2016-05-22,28,1.0024783147459728,1.3370818745085948,1.1344937117042624,1.3337763568954708,0.3696800234124896,0.35714285714285715,1.1785714285714286
AutoARIMA,FOODS_2_152_WI_2,2016-02-28,28,5.450899031811895,3.433363780758633,0.36140671376406663,0.6298711021285185,1.187545419802906,0.9285714285714286,9.5
AutoARIMA,FOODS_2_152_WI_2,2016-03-27,28,5.412782956058589,3.9766961365939024,0.4383759520654696,0.7346860513116902,1.2760911851166272,0.9642857142857143,9.071428571428571
AutoARIMA,FOODS_2_152_WI_2,2016-04-24,28,5.397946084724005,4.039242305363914,0.42678786622713055,0.7482924508628988,1.2624448649417406,0.9285714285714286,9.464285714285714
AutoARIMA,FOODS_2_152_WI_2,2016-05-22,28,5.380421313506815,3.826516299459648,0.5357122819243507,0.711192688545356,1.24717324829268,0.9642857142857143,7.142857142857143
AutoARIMA,FOODS_2_153_WI_1,2016-02-28,28,1.7372060857538036,2.821377468175997,1.0128021680631785,1.6240890999134123,1.0314386873942256,0.7857142857142857,2.7857142857142856
AutoARIMA,FOODS_2_153_WI_1,2016-03-27,28,1.7749667110519307,2.4423867597856446,0.7951956892325355,1.3760183470360234,0.7494001946734367,0.75,3.0714285714285716
AutoARIMA,FOODS_2_153_WI_1,2016-04-24,28,1.840821566110398,1.331282748631086,0.4778963713034668,0.7232003216064268,0.41923137200241267,0.8928571428571429,2.7857142857142856
AutoARIMA,FOODS_2_153_WI_1,2016-05-22,28,1.835192069392813,1.324246168986271,0.6179815455269265,0.7215845093665906,0.4134538906099412,0.9285714285714286,2.142857142857143
AutoARIMA,FOODS_2_166_CA_3,2016-02-28,28,1.1466113416320884,0.05307766287043741,1.4861745603722474,0.04629089294973009,0.10400246228097057,1.0,0.03571428571428571
AutoARIMA,FOODS_2_166_CA_3,2016-03-27,28,1.1065246338215713,0.03868086400638304,1.0830641921787252,0.03495707445101524,0.09933030888834413,1.0,0.03571428571428571
AutoARIMA,FOODS_2_166_CA_3,2016-04-24,28,1.0693196405648266,1.6070053630899657,0.9999144481448675,1.5028297453146258,0.5155489656350019,0.75,1.6071428571428572
AutoARIMA,FOODS_2_166_CA_3,2016-05-22,28,1.1016109045848823,1.1661226640970401,0.6046561961984652,1.058561293505412,0.36566016095081816,0.8928571428571429,1.9285714285714286
AutoARIMA,FOODS_2_183_TX_3,2016-02-28,28,2.868603042876902,5.254628764497991,9.195600337871484,1.8317727081639574,1.5136901957129356,0.14285714285714285,0.5714285714285714
AutoARIMA,FOODS_2_183_TX_3,2016-03-27,28,2.81491344873502,0.9125138400887451,1.7033591681656577,0.3241711891705996,0.32675776677791674,1.0,0.5357142857142857
AutoARIMA,FOODS_2_183_TX_3,2016-04-24,28,2.7406931964056485,0.40041401236880125,,0.1460995389392488,0.22946540049319758,1.0,0.0
AutoARIMA,FOODS_2_183_TX_3,2016-05-22,28,2.65179677819083,3.25,1.0,1.2255841121495328,0.77012657382338,0.7857142857142857,3.25
AutoARIMA,FOODS_2_223_TX_3,2016-02-28,28,0.5518672199170125,0.06888466277702361,,0.12482108067114804,0.04550925358405507,1.0,0.0
AutoARIMA,FOODS_2_223_TX_3,2016-03-27,28,0.5312916111850865,0.01172555901528206,,0.022069911830768993,0.03349857466831617,1.0,0.0
AutoARIMA,FOODS_2_223_TX_3,2016-04-24,28,0.5121951219512195,0.2517155961731681,1.0068623846926723,0.4914447353857091,0.11175539504629767,0.8571428571428571,0.25
